Year,Mac,Services,"Wearables, Home and Accessories",iPad,iPhone
2015,25471.0,19909.0,10067.0,23227.0,155041.0
2016,22831.0,24348.0,11132.0,20628.0,136700.0
2017,25850.0,29980.0,12863.0,19222.0,141319.0
2018,25484.0,37190.0,17417.0,18805.0,166699.0
2019,25740.0,46291.0,24482.0,21280.0,142381.0
2020,28622.0,53768.0,30620.0,23724.0,137781.0
2021,35190.0,68425.0,38367.0,31862.0,191973.0
2022,40177.0,78129.0,41241.0,29292.0,205489.0
2023,29357.0,85200.0,39845.0,28300.0,200583.0
2024,29984.0,96169.0,37005.0,26694.0,201183.0
